trial_number,adaptor_condition,adaptor_file,adaptor_predicted_rating,test_file,test_predicted_rating,adapt_duration_s,test_duration_s,rating
13,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.06.png,3.06,24.77,0.89,5
14,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.88.png,3.88,26.84,0.73,5
15,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_2.26.png,2.26,28.62,0.74,5
16,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_2.26.png,2.26,25.98,0.58,1
17,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.88.png,3.88,23.79,0.74,1
18,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.06.png,3.06,29.08,0.57,1
19,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.88.png,3.88,24.75,0.98,1
20,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_2.26.png,2.26,22.38,0.89,5
21,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_2.26.png,2.26,20.64,0.86,5
22,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.88.png,3.88,27.67,0.62,1
23,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.06.png,3.06,28.35,0.55,5
24,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.88.png,3.88,28.54,0.77,5
25,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_2.26.png,2.26,28.07,0.78,1
26,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.06.png,3.06,27.13,0.92,5
27,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_3.06.png,3.06,27.77,0.71,5
28,happy,safe_synthetic_face_rating_5.30.png,5.3,safe_synthetic_face_rating_2.26.png,2.26,23.26,0.56,5
29,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.88.png,3.88,20.75,0.63,1
30,unhappy,safe_synthetic_face_rating_0.82.png,0.82,safe_synthetic_face_rating_3.06.png,3.06,21.81,0.71,1
>>>>>>> 3455a2f54c64419fe912c1f0fd22585e30fc27e1
